student_id,age,gender,major,gpa,score,credits_earned,absences,enrollment_date
1001,24,Male,Engineering,3.02,63,71,2,2023-04-16
1002,21,Female,Computer Science,3.28,75,118,13,2021-08-31
1003,22,Male,Mathematics,2.33,94,47,1,2021-12-26
1004,24,Male,Mathematics,2.99,76,69,11,2021-03-20
1005,20,Female,Engineering,3.22,58,101,0,2021-02-01
1006,25,Male,Mathematics,2.93,75,68,6,2020-11-12
1007,22,Female,Computer Science,3.79,96,43,6,2022-08-14
1008,22,Female,Engineering,2.87,71,61,11,2021-06-23
1009,24,Female,Computer Science,3.17,96,80,1,2023-07-08
1010,19,Male,Computer Science,3.34,79,67,6,2020-10-31
1011,20,Male,Mathematics,3.73,92,52,12,2023-03-28
1012,24,Male,Mathematics,2.87,97,92,7,2020-10-12
1013,20,Male,Mathematics,3.65,66,44,0,2020-09-25
1014,20,Male,Mathematics,3.3,75,54,8,2023-07-30
1015,25,Male,Mathematics,3.01,85,46,6,2021-01-09
1016,22,Male,Engineering,3.44,50,95,2,2020-12-17
1017,21,Female,Computer Science,3.36,57,107,7,2021-02-19
1018,25,Male,Computer Science,3.12,98,82,6,2020-12-11
1019,25,Female,Computer Science,3.32,84,80,10,2023-01-14
1020,20,Male,Computer Science,3.18,64,68,14,2022-02-06
1021,23,Male,Mathematics,3.33,96,80,12,2021-06-02
1022,22,Male,Computer Science,3.5,71,99,7,2023-08-04
1023,19,Female,Engineering,3.78,63,35,5,2022-11-26
1024,25,Female,Engineering,2.93,75,96,8,2023-04-15
1025,21,Female,Computer Science,3.94,77,36,14,2023-07-08
1026,23,Female,Computer Science,2.71,72,80,4,2021-07-27
1027,23,Male,Engineering,3.25,63,101,2,2020-09-12
1028,19,Female,Engineering,3.48,73,71,2,2021-04-04
1029,25,Male,Mathematics,3.38,51,93,0,2021-08-05
1030,21,Male,Engineering,3.11,94,44,11,2022-06-23
1031,22,Female,Mathematics,3.24,75,58,14,2021-09-09
1032,18,Female,Mathematics,3.15,63,62,7,2023-05-04
1033,21,Female,Mathematics,3.12,56,56,1,2022-08-11
1034,19,Female,Mathematics,3.55,52,65,2,2021-12-10
1035,23,Female,Mathematics,3.41,96,58,7,2022-01-02
1036,22,Female,Computer Science,3.09,72,67,13,2020-10-17
1037,21,Female,Engineering,3.57,95,86,7,2022-10-18
1038,18,Female,Mathematics,3.39,92,56,13,2023-07-07
1039,18,Male,Engineering,3.54,96,84,10,2022-08-12
1040,20,Female,Engineering,3.49,94,62,3,2021-10-06
1041,20,Female,Mathematics,3.05,67,97,3,2023-05-09
1042,24,Male,Computer Science,3.13,87,115,4,2021-05-08
1043,19,Female,Mathematics,3.52,84,95,5,2021-09-26
1044,25,Male,Computer Science,3.48,64,39,4,2021-08-01
1045,21,Male,Engineering,3.29,74,34,13,2022-05-22
1046,21,Female,Computer Science,3.34,86,103,14,2021-01-15
1047,25,Male,Computer Science,3.68,77,67,6,2023-01-31
1048,24,Male,Computer Science,3.12,59,42,1,2022-07-20
1049,23,Male,Engineering,3.46,88,60,6,2022-12-06
1050,23,Male,Engineering,3.24,66,76,9,2022-08-28
1051,24,Female,Computer Science,3.23,88,117,6,2022-04-17
1052,23,Male,Computer Science,3.63,71,81,0,2023-05-18
1053,20,Female,Mathematics,3.55,75,85,6,2021-09-07
1054,21,Male,Computer Science,3.54,93,44,4,2023-03-24
1055,24,Male,Mathematics,3.69,74,58,2,2023-05-23
1056,21,Male,Computer Science,3.31,66,37,12,2021-10-07
1057,25,Male,Mathematics,3.5,62,34,2,2022-05-08
1058,18,Female,Engineering,3.21,69,58,3,2023-05-23
1059,20,Female,Computer Science,3.4,74,76,12,2022-05-13
1060,22,Male,Computer Science,3.26,53,97,11,2021-03-07
1061,20,Male,Computer Science,3.33,59,105,1,2021-01-09
1062,24,Female,Computer Science,3.48,52,74,1,2022-11-14
1063,22,Male,Mathematics,3.05,90,31,0,2023-03-25
1064,18,Male,Computer Science,3.93,94,56,14,2023-05-14
1065,24,Male,Engineering,3.0,67,65,4,2021-03-02
1066,19,Female,Engineering,2.94,96,65,3,2023-05-11
1067,21,Female,Computer Science,3.65,85,55,10,2021-08-30
1068,18,Female,Engineering,3.54,96,72,9,2020-10-09
1069,21,Male,Computer Science,3.49,71,56,14,2022-01-10
1070,23,Male,Computer Science,3.49,83,98,1,2023-05-10
1071,19,Female,Engineering,3.3,96,49,2,2023-03-10
1072,19,Female,Computer Science,3.03,57,40,6,2022-08-23
1073,18,Female,Engineering,3.32,89,103,6,2020-09-16
1074,19,Female,Mathematics,3.1,98,67,11,2022-01-06
1075,22,Male,Computer Science,3.59,93,35,3,2023-02-11
